Title,Director,Cast,Genre,Year
Fida-E-Watan,G. R. Sethi,"Sardar Akhtar, Yusuf Effendi, Gulzar, Indurani, Gope, Prem Kumari, Amirbai Karnataki",Costume Action,1936
Garib Pariwar,M. Bhavnani,"Bibbo, P. Jairaj, Ameena, Tara, Nayampalli, Bhudo Advani, Khalil",Costume Drama,1936
Gazi Diler,"G. K. Mehta, K. Shah","Navinchandra, Padmavati, Amritlal Nagar, Manibai, Shamsad",Costume,1936
Gol Nishan,M. Udwadia,"Gohar Karnataki, Navinchandra, Brijmala, Shilprabha, Fakir Mohammed, Amritlal Nagar, Bhim",Social,1936
Graduate a.k.a. Parivartan,Ezra Mir,"Jahanara Kajjan, Khalil, Indubala, Akhtar Nawaz, Mohamed Hussain",Social,1936
Grama Kanya a.k.a. Village Girl,Sarvottam Badami,"Sabita Devi, Surendra, Yakub, Aruna Devi, Kayam Ali, Sankatha Prasad, Jamu Patel, Baby Indira",Social,1936
Gulam Daku,Moti Gidwani,"Rose, Ghulam Mohammed, Jamna, Jamshedji, Rafique Ghaznavi, Jilloobai, Sayed Ahmed, Ghulam Rasool, Rustom Poonawala",Action,1936
Gunehgar,"H. R. Soni, Baba Kesar Singh","Gohar Mamajiwala, Haidar Shah, Marutirao, Kamla Kumari, Soni, Manmohan, Shamsuddin",Social,1936
Hamari Betiyan,Rama Choudhry,"Mubarak, Kumar, Rose, Pramila, Jilloobai, Baba Vyas",Social,1936
Hind Mahila,Premankur Atorthy,"Master Vithal, Rattan Bai, Shahu Modak, Sudhabala, Hafisji, Raja Pandit",Social,1936
Honhar,Gajanan Jagirdar,"Shahu Modak, Rajkumari, Mehar Sultana, Gajanan Jagirdar, Leela Mishra",Devotional,1936
Hoor-E-Samundar,Dhirubhai Desai,"Ashiq Hussain, Sultana, Ansuya, Kantilal",,1936
Hriday Manthan,Jaddanbai,"Ashiq Hussain, Urmila Devi, Baby Nargis, Shahzadi, Siddiqui, Yusuf, Jaddanbai",Social,1936
Jagran,M. Bhavnani,"Enakshi Rama Rao, Navin Yagnik, Narottam Vyas, Prabha Devi, Nayampalli, Shivrani Ghosh, Narendranath Tuli, S. L. Puri, Gyani, Abu Bakar",Social,1936
Jai Bharat,Homi Master,"Husn Banu, Jal Khambatta, Sardar Mansur, Gulshan, Sayani Atish, Master Mohammed, Bismillah",Action,1936
Janbaz Malika,N. G. Bulchandani,"Nimbalkar, Prem Kumari, A. Kabuli, Azurie, Rampyari, Anwaribai, R. P. Kapoor, Hamida Banu, Akhtari",Costume,1936
Janmabhoomi,Franz Osten,"Ashok Kumar, Devika Rani, Pramila, Mumtaz Ali, Chandraprabha, P. F. Pithavala, Zaverbhai Kaiser, Kamta Prasad, Khosla, N. M. Joshi",Social,1936
Jate Sharif,Homi Master,"Heera, Jumuna, Jamshedji, Rustom Poonawala, Ghulam Rasool, Sayed Ahmed",Action,1936
Jeevan Lata,Sarvottam Badami,"Motilal, Sabita Devi, Gulzar, Sankatha Prasad, Sushila, Mehdi Raza, Bhudo Advani, Pande",Social,1936
Jeevan Naiya,Franz Osten,"Ashok Kumar, Devika Rani, Pramila, Mumtaz Ali, Sumita Devi, Chandraprabha, P. F. Pithavala, Kusum Kumari, Kamta Prasad, Anwaribai",,1936
Jungle Queen,Nandlal Jaswantlal,"D. Billimoria, Sulochana (Ruby Myers), Jamshedji, Syed Ahmed, Lakshmi, Jilloobai, Ghulam Rasool",Action,1936
Jwalamukhi,D. N. Madhok,"Padma Devi, Ishwarlal, Khatoon, Shanta Devi, Ghory, Bhupatrai, Charlie",Social,1936
Kadakti Bijli,G. R. Sethi,"Rajkumari, Radha Rani, Bashir, Kabuli, Chanda",Action,1936
Karodpati a.k.a. Millionaire,Hemchandra Chunder,"K. L. Saigal, Sardar Akhtar, Molina, Pahari Sanyal, Nawab, Jagdish Sethi, Trilok Kapoor, Rajkumari, Kidar Sharma, Amar Mullick, Devbala, Nemo, Durgadas Bannerjee",Social Drama,1936
Khooni Kaun,G. R. Sethi,"Kanan Devi, A. R. Kabuli, Khatoon, Jawahar, B. Roy",Suspense,1936
Khyber Pass,Gul Hamid,"Gul Hamid, Patience Cooper, Mazhar Khan, Lalita Devi, Indubala, Purnima, Hasndid, Pahelwan",Action,1936
Kimiagar a.k.a. Museum,Nagendra Majumdar,"Nissar, Khursheed, Shakir, Jani Babu, Kitty William",Action,1936
Lagna Bandhan,K. P. Ghose,"Motilal, Sabita Devi, Aruna Devi, Leelavati, Gulzar, Mehdi Raza, Pesi Patel, Bhudo Advani, Azurie, Sankatha Prasad, Ansari",Social,1936
Laheri Lala,Jayant Desai,"Madhuri, E. Billimoria, Ghory, Dixit, Charlie, Ishwarlal, Khatoon, Keki Adjania, Ram Apte",Action,1936
Lal Punja,K. B. Desai,"Shiraz, Manjri, Razaq Ali, Bachcha, Dhulia, Sandow, Subhash",Costume,1936
Laylo Nehar,R. J. Ashar,"Rafique Ghaznavi, Zubeida, Dulari, Syed Ahmed, Ghulam Rasool",Costume,1936
Maa,Prafulla Ghosh,"Kanan Devi, Jal Merchant, Zubeida, Mohammed Ishaq, Manorama Sr., Rashbihari Bose, Kusum Kumari, Master Vrajmohan",Social,1936
Maa Ki Mamta,J. J. Madan,"Phool Kumari, Rajmani, Surajram, Akar, Angurbala, Anwaribai, Lakshman, Maneklal",Social,1936
Madam Fashion,Jaddanbai,"Ansari, Ashiq Hussain, Jaddanbai, P. Bose, Baby Nargis, Misra, Yusuf",Social,1936
Mahamaya,Gunjal,"Ghulam Mohammed, Pramila, Kumar, Sayed Khan, Lalita, Asooji, Alidadan, Jilloobai",Social,1936
Mamta And Miya Biwi,Franz Osten,"Devika Rani, Najmul Hussain, Sunita Devi, J. S. Kashyap, P. F. Pithavala, Kamta Prasad, Chandra Prabha,",Social,1936
Manmohan,Mehboob Khan,"Surendra, Bibbo, Yakub, Ashalata, Kayam Ali, Kashmiri, Bhudo Advani, Zia Sarhadi, Pesi Patel, Pande, Mehdi Raja",Social,1936
Manzil,P. C. Barua,"P. C. Barua, Jamuna, Prithviraj Kapoor, Pahari Sanyal, Molina, Sitara Devi, K. C. Dey, Nemo, Shore, Bikram Kapoor, Boken Chatto",Social Family Drama,1936
Mard Ka Bachcha,M. Udwadia,"Aruna Devi, M. Mohammed, Zohra Sehgal, Amir Hussain, Fakir Mohammed, Jay Kumar",Action,1936
Mastana Mashooq,A. M. Khan,"Yashwant Dave, Ansuya, Master Nissar, Himmatlal, Fazlu, Samson, Bulbule, Kantilal, Ata Mohamed, P. R. Joshi, Bibijan",Action,1936
Matlabi Duniya,Jayant Desai,"Madhuri, Ishwarlal, Ram Apte, Kamala Kumari, Charlie, Ghory, Dixit, Khatoon, Raja Sandow, Shanta, Charubala",Social,1936
Matwali Jogan,K. Amarnath,"Rajkumari, Ermeline, S. Nazir, Rajinder Singh, Vimla, Putlibai, Azurie, Shahani, Miss Pokhraj",Devotional,1936
Maya,P. C. Barua,"Pahari Sanyal, Jamuna, Sitara Devi, Raj Lakshmi, Boken Chatterjee, Azurie, Nawab, Nemo, K. C. Dey, Nani Bandhopadhay, Indu Mukherjee, Babulal",Social Romance,1936
Miss Frontier Mail,Homi Wadia,"Fearless Nadia, Sardar Mansur, John Cawas, Sayani Atish, Jaidev, Gulshan, Jal Khambhata, Manchi Thoothi, Minoo Cooper",Action Adventure,1936
Mohabbat Ka Toofan,Fram Sethna,"Patience Cooper, Dalsukh, Shivlal, Master Mohan",Action,1936
Mr. & Mrs. Bombay,Nanubhai Vakil,"Zubeida, Jal Merchant, Ghulam Hussain, Mustafa, Baby Noor Jehan",Action,1936
Nari Raj a.k.a. Miss Calcutta,Nanubhai Vakil,"Jahanara Kajjan, Jal Merchant, Abdur Rehman, Mubarak, Ghulam Hussain, Mushtaq Hussain, Phool Kumari, Baby Noor Jehan",Costume,1936
Nasib Ka Chakkar,Pesi Karani,"Mohammed Ishaq, Akhtari, Angurbla, Maneklal, Lakshmandas, Rajmani, Baby Yvonne",Social,1936
Nazar Ka Shikar,A. P. Kapoor,"Rajkumari, Sitara Devi, Marutirao, Baburao, Khatoon, Abu Bakar",Action,1936
Noor-E-Wahadat,G. R. Sethi,"Mazhar Khan, Lalita Devi, Patience Cooper, Nand Kishore, Azurie, Purnima",Costume,1936
Pahadi Kanya,Harshadrai Mehta,"Fearless Nadia, John Cawas, Sharifa, Sardar Mansur, Gulshan, Jal Khambatta, Boman Shroff, Master Mohammed, Bismillah",Action,1936
Passing Show,Dwarka Khosla,"Jayant, Padma Devi, Umakant, Shirin, Jahangir, Ismail, M. Luhar, Lallubhai",Action,1936
Piya Ki Jogan,Hiren Bose,"Sardar Akhtar, Nirmal, Pramod Chandra, M. Irani, Krishna Kumari, Ashalata, Shaila, Agha, Kashmiri, D. Manek",Social,1936
Prabhu Ka Pyara,Chandulal Shah,"Gohar Mamajiwala, E. Billimoria, Ishwarlal, Khatoon, Charubala, Kanka, Keki Adajania, Ram Apte, Raja Sandow",Social,1936
Pratima,Ram Daryani,"Nazir, Sardar Akhtar, Gope, Indukumari, D. Manek, Afzal, Mehar Banu, Omkar Devaskar, Amirbai Karnataki",Social,1936
Prem Bandhan,"Ramnik Desai, C. N. Lala","Sardar Akhtar, Madhav Kale, Sitara Devi, Benjamin, Gangadhar Sharma, Putlibai, Devaskar, Amirbai Karnataki, Laxmi, Panna, Solanki",,1936
Prem Ki Aag,M. L. Kapoor,"Mukhtar Begum, A. R. Akhtar, Safdar, F. M. Butt, D. N. Uppal, Pranshankar, Bhai Desa, Haseena",Romantic Drama,1936
Prem Ki Devi,Sorabji Kerawala,"Ghulam Sabir, Rani Premlata, Zahur Ahmed, Imam Bandi, S. Kerawala",Devotional,1936
Prem Laksha,Fram Sethna,"Bimla Kumari, Mubarak, Mustafa, Dilara, Hashmat, Ghulam Hussain, Nawabbanu Hyderabadi",Social,1936
Prem Ratri,Dwarka Khosla,"Nazir, Yasmin, Shanta Kumari, Firoze Dastur, Gope, Hari Shivdasani, Gidwani, D. Sarkari",Costume,1936
Pujarin,Prafulla Roy,"K. L. Saigal, Pahari Sanyal, Rajkumari, Chandra, Nawab, Shyam Laha, K. C. Dey, Kidar Sharma, Kailash, Babulal",Social,1936
Punjab Ka Sinha,Kanjibhai Rathod,"Ashiq Hussain, Ansuya, Gulab, Fazlu, Kantilal, P. R. Joshi, Ebrahim, Samson",Action,1936
Raiders Of The Railroad,H. S. Thakur,"Usharani, Prakash, Sushila, Kamala Kumari, Kailash, H. Singh, Vilas, Mohammed Nazir",Action,1936
Raj Dulari,Ramnik Desai,"Jahanara Kajjan, Sheela, Khalil, Mohammed Hussain",Costume,1936
Raj Natee,Charu Roy,"Bashir, Bina Devi, P. Verma, Nimbalkar",Costume,1936
Raj Ramani,Jayant Desai,"Madhuri, E. Billimoria, Gohar Mamajiwala, Charlie, Dixit, Ghory, Keki Adjania, Rewashankar, Shanta, Bhupatrai, Ishwarlal",Costume,1936
Rajput Ramani,K. Dhaiber,"Nalini Tarkhud, Kelkar, Shanta Apte, Buwa Saheb, Pathak, Mane, Chhotu",Costume Action Drama,1936
Rangila Raja,Jayant Desai,"Madhuri, E. Billimoria, Gohar Mamajiwala, Charlie, Dixit, Ghory, Keki Adjania, Rewashankar, Khatoon, Kesari, Charubala, Bhupatrai, Ishwarlal",Costume,1936
Romantic India,Mohan Sinha,"Prem Adib, Radharani, Nurjahan, Snehlata, Shyam Sunder, Lily, Jeevan, Badri Prasad, Munshi Khanjar",Costume,1936
Said-e-Havas a.k.a. Prey To Desire or Greed or King John,Sohrab Modi,"Sohrab Modi, Gulzar, Sadat Ali, Fakir Mohammed, Shama, E. Tarapore, Chandra Kumar, Fakir Mohammed, Sarla Devi, Ghulam Hussain",Drama,1936
Sagar Ki Kanya,Hendry Dargwitch,"Sultana, Gulzar, Shantaram, F. M. Butt, Roshanara, Shankarrao, Hemprabha",,1936
Sangdil Samaj,Ram Daryani,"Nazir, Sardar Akhtar, Padma Devi, Gope, Kamlakar, Omkar, Kamla Varekar, Sadiq Ali, Hari Shivdasani",,1936
Sant Tukaram,"V. G. Damle, Sheikh Fattelal","Vishnupant Pagnis, Gauri, B. Nandrekar, Kusum Bhagwat, Shankar Kulkarni, Master Chhotu, Pandit Damle",Biopic Devotional,1936
Sarala,Premankur Atorthy,"Rattanbai, Kumar, Pramila, Hafisji, Anant Marathe, Ahindra Chowdhary, Baba Vyas, Jamshedji, Jilloobai, Asooji",Social,1936
Shahu Chor,M. Udwadia,"Navinchandra, Zohra Sehgal, Brijmala, Amritlal Nagar, Ram Marathe, Nurjahan, Amritlal Nagar",Action,1936
Shahid-e-Mohabbat,"Homi Bode, Chandra Singh","Sharif, Mumtaz, Kitchlu, Sharma",Social,1936
Shan-E-Hind,R. S. Choudhary,"Sulochana (Ruby Myers), D. Billimoria, Ghulam Mohammed, Jumuna, Asooji",Social,1936
Shaitan Ka Pash a.k.a. Kamala C.I.D.,Ezra Mir,"Mazhar Khan, Jehanara Kajjan, Khalil, Mustafa, Peerjan",Social,1936
Sher Ka Panja,Dwarka Khosla,"Nazir, Sardar Akhtar, Firoze Dastur, Yasmin, Gope, Omkar, Ashalata, Kashmiri, Hari Shivdasani",Action,1936
Sher-E-Kabul,,,,1936
Shokhe Dilruba,J. P. Advani,"Yasmin, Khurshid, Nazir, Kamlakar, Sharifa, Saroj, Bibijan",,1936
Sipah Silar,Mohammed Hussain,"Abbas, Mustafa, Ghulam Hussain, Champaklal, Kawasji Panthaki",Action,1936
Sipahi Ki Sajni,Chandulal Shah,"E. Billimoria, Gohar Mamajiwala, Charlie, Dixit, Ghory, Keki Adjania, Rewashankar, Shanta, Bhupatrai, Kesari, Ram Apte, Ishwarlal",Romantic Drama,1936
Sita Haran,Kerewala? A. H. Essa?,"Patience Cooper, Narmada Shankar, Mehazabin",Religious,1936
Snehlata,Balwant Bhatt,"Rajkumari, Gulab, Jayant, Umakant, Shirin, Panna, Jai Writer, Lallubhai",,1936
Struggle a.k.a. Jeevan Sangram,Ezra Mir,"Jahanara Kajjan, Ishwarlal, Ghulam Hussain, Mahajabeen, Mohammed Hussain, Akhtar Nawaz, Mustafa",Social,1936
Sultana Chand Bibi,A. R. Kabuli,"Sharifa, Shakuntala, Sadiq Ali, Kabuli, Kamlabai, Sher Ali, Fakir Mohammed, Haroon",Historical Legend,1936
Sundari,Aspi Irani,"Kamlesh Kumar, Lalita Devi, Laxmi, Rafique Ghaznavi, Sarojini, Boman Shroff, Saed Ahmed",Costume,1936
Sunehra Sansar,Debaki Bose,"Vijay Kumar, Mazhar Khan, Rampyari, Gul Hamid, Azurie, Nazir Bedi, Nand Kishore, Menka, Kamla Jharia, K. N. Singh",Comedy,1936
Tope Ka Gola,Balwant Bhatt,"Jayant, Gulab, Shirin, Umakant, M. Zahur, Ismail, Basjir Qawwal, Lallubhai, Nurjahan, S. Nazir",Action,1936
Zalzala,Sorabji Kerawala,"Radha, S. Kerawala, Ebrahim, Agha Ali, Akbar Peshawari, D. Mehra, N. M. Khan, Sajid Hussain, A. Rauf, Champa, Anwaribai",Action,1936
Zan Mureed,A. H. Essa,"Sitara Devi, Kashinath, Sushila Devi, Sharifa, Aziz, Moti, Mayuri, Sadiq Ali, Amir Hussain",Costume,1936
Calcutta After Midnight,A. R. Kabuli,"Ramola, Brijrani, Shiraz, Sitara Devi, Ghulam Qadir, Sher Ali, Zohra Sehgal, A. R. Kabuli",Suspense Drama,1937
Capt. Kirti Kumar,C. M. Luhar,"Motilal, Bibbo, Yakub, Krishna Kumari, V. H. Desai, Bhudo Advani Ram Marathe, Sankatha Prasad, Pesi Patel",Action,1937
Chabuk Sawar,M. Udwadia,"Gohar Karnataki, Amritlal Nagar, Brijmala, Vijay Kumar, Bhim, Nurjahan, Sheelprabha, P. R. Joshi",Action,1937
Challenge,Balwant Bhatt,"Lalita Pawar, Jayant, Rajkumari, Shirin, Lallubhai, Gulab, Jahangir, M. Zahur, Ismail",Action,1937
Chevrolet 1936,G. P. Pawar,"Lalita Pawar, Madhav Kale, Bhagwan, Varne, B. Sohni, V. Mehta",Action,1937
Danger Signal,K. Amarnath,"Kumar, Nazir, Lalita, Masiah, Takle",Action,1937
Daulat,S. M. Yusuf,"Harishchandra, Chandrarao Kadam, Mehar Sultana, Shah Nawaz, Usha Rani, Khatoon, Agha, Brijmala, S. M. Sadiq, Usha Rani",Social,1937
Dhanwan,Premankur Atorthy,"Rattanbai, W. M. Khan, Jamshedji, Hafizji",Social,1937
Dharamaveer,Master Vinayak,"Indira Wadkar, Master Vinayak, Ratnaprabha, Baburao Pendharkar, Javdekar, Datar",Social,1937
Dil Faroshi,D. N. Madhok,"Ishwarlal, Khatoon, Charlie, Malti, Ram Apte, Dilip",Action,1937
Do Auratein a.k.a. Two Women,Moti Gidwani,"Padma Devi, Rose, Rafique Ghaznavi, Ghulam Mohammed, Baba Vyas, Sayed Ahmed, Laxmi",Social,1937
Dukhiyari,Manibhai Vyas,"Kokila, Madhukar Gupte, Firoza Begum, Devaskar, Amirbai Karnataki, S. Nazir",Social,1937
Duniya Na Mane,V. Shantaram,"Shanta Apte, Raja Nene, Vasanti, Shakuntala Paranjpye, Keshavrao Date, Vimla Vashishta, Master Chhotu, Karmarkar, Gauri",Social Drama,1937
Jagat Kesari,Homi Master,"Dinshaw Billimoria, Sulochana, Ruby Myers, Ghulam Mohammed, Ghulam Rasool, Lakshmi, Jilloobai, Jumuna Sr, Jamshedji, Sayed Ahmed",Costume,1937
Jagirdar,Mehboob Khan,"Motilal, Surendra, Bibbo, Yakub, Maya Devi, Ram Marathe, Bhudo Advani, Pesi Patel, Zia Sarhadi, Sankatha Prasad",Social,1937
Jawahir-e-Hind,Chunilal Parekh,"K. G. Rao, Rama Sashi, Sultan Alam, Nurjahan, Tarabai",Social,1937
Jeevan Prabhat,Franz Osten,"Devika Rani, Renuka Devi, Maya Devi, Kishore Sahu, Mumtaz Ali, Vimla Devi, Chandraprabha, Tarabai, Saroj Borkar, Kamta Prasad, P. F. Pithawala",Social Family Drama,1937
Jeevan Jyoti,M. R. Kapoor,"Urmila Devi, R. L. Monge, Shakuntala Devi, Ghulam Qadir, Sunalini Devi, Gulzar, Firoza Begum, Gobind Ram",Social,1937
Jeevan Swapna,Jaddanbai,"Mehtab, Sitara Devi, A. Hussain, Marutirao, Shanta Devi, Anees Khatoon",Social,1937
Kal Ki Baat,R. S. Choudhry,"Rose, Surendra, Zebunissa, Durga Khote Jani Babu, Shakir, Mubarak, Bibijan",Costume,1937
Kala Bhoot,A. M. Khan,"Navinchandra, Rajkumari, Gohar Karnataki, Bose, Bashir, Sofia, Razak, Ali",Costume Suspense,1937
Khan Bahadur,Sohrab Modi,"Sohrab Modi, Naseem Banu, Prem Adib, E. Tarapore, Sharifa, Sadiq Ali, Sheela,",Social,1937
Khudai Khidmatgar,Vithaldas Panchotia,"Mazhar Khan, Rampyari, Khalil, V. Panchotia, Radharani, Shyam Sunder, Sarla Devi, A. R. Pehalwan, Fida Hussain, Jaishankar Pehalwan,",Action,1937
Khwab Ki Duniya,Vijay Bhatt,"Sardar Akhtar, Jayant, Shirin Banu, Madhav Marathe, Umakant, Zahur, Ismail, Lallubhai",Fantasy,1937
Kisan Kanya,M. Gidwani,"Padma Devi, Ghulam Mohammed, Sayed Ahmed, Jilloobai, Nissar, Gani",Social,1937
Kiski Pyari a.k.a. Whose Love?,Akhtar Nawaz,"Jal Merchant, Zubeida, Premlata, Khalil, Ghulam Hussain, Noor Jehan, Akhtar Nawaz, Anees Khatoon, Aghajan, Bittanbai",Social,1937
Kokila,Sarvottam Badami,"Motilal, Shobhana Samarth, Sitara Devi, Sabita Devi, Maya Bannerji, Kayam Ali, Sankatha Prasad, Siddiqi",Social,1937
Kuldeepak,A. M. Khan,"Shiraz, Gohar Karnataki, F. M. Khan, Garib Shah, Rafique Ghaznavi, Anwaribai, Almas, Bibijan",Social Family Drama,1937
Kulvadhu,Sarvottam Badami,"Motilal, Sabita Devi, Gulzar, Pesi Patel, Pande, Jamu Patel",Social,1937
Raja Gopichand,Bhalji Pendharkar,"Ratnaprabha, Chandrakanta, Leela Chitnis, Ranade, G. M. Londhe, Dongre, Danve, Usha, Dinkar Kamanna",Devotional,1938
Rajkumari,Dwarka Khosla,"Lalita Pawar, Nazir, Jeevan, Shiraz, Gope, Ameena, O. K. Dar, Omkar, Majid",Costume,1938
Rangila Mazdoor,S. M. Yusuf,"Harishchandra Rao, Violet Cooper, Shah Nawaz, Nazira, Dilawar, Agha, A. Haq, Gulshan, Bismillah",Social,1938
Rifle Girl,Rama Chowdhary,"P. Jairaj, Rose, Yusuf Effendi, Balabhai, Mehdi Raja, Bibijan",Action,1938
Rikshawala,Ezra Mir,"Mazhar Khan, Indubala, Ila Devi, Charlie, Wasti, Waheedan Bai, Dixit, Ghory, Tarabai",Social,1938
Royal Commander,M. Udwadia,"Anil Kumar, Noor Jehan, Ashiq Hussain, Mehar Sultana, Fazlu, Samson, Gulab, F. M. Butt",Action,1938
Sathi,P. Y. Altekar,"Durga Khote, Mubarak, Vimla Sardesai, Nyampalli, Salvi, Bachchu, Kaka Joglekar",Social,1938
The Secretary,Chaturbhuj Doshi,"Madhuri, Trilok Kapoor, Rajkumari, Charlie, Waheedan Bai, Kalyani Das",Social,1938
Sharif Daku,G. R. Sethi,"Navinchandra, Padma Devi, Noor Jehan, Ghulam Hussain, F. M. Butt, Mukhtar, Baburao",Action,1938
Sneh Lagna,Chandrarao Kadam,"Hansa Wadkar, Chandrarao, Shyam Sunder, Ansuya, Jeevan, Fakir Mohammed, Gangaprasad Pathak",Social Drama,1938
State Express,Vijay Bhatt,"Sardar Akhtar, Jayant, M. Zahur, Shirin, Lallubhai Nayak, Ismail, Jahangir, Vithaldas, Athavale, Umakant",Action,1938
Stree,Saqi,"Shakuntala, Roshan Ara Begum, Mirajkar, Amir Hussain",Social,1938
Street Singer,Phani Majundar,"K. L. Saigal, Kanan Devi, Jagdish Sethi, Brij Pal, Bikram Kapoor, Shabir, A. H. Shore, Abdul Rehman, Rekha, Chamanlal, Vaid, Purnima Devi, Ram Kumari",Social Romance Musical,1938
Sunehra Baal,Narottam Vyas,"Radharani, Firoz Dastur, Badri Prasad, Vasantrao Pehalwan, Indurani, Sharifa",Action,1938
Talaq a.k.a. Divorce,Sohrab Modi,"Naseem Banu, Prem Adib, Sohrab Modi, Gajanan Jagirdar, Navin Yagnik, Sheela, Vimla Vashishta, Abu Bakar, Sheela, Khan Mastana, Sunalini Devi, Khwaja Sabir",Social Family Drama,1938
Talwar Ka Dhani,Dhirubhai Desai,"Anil Kumar, Mehar Sultana, Ghulam Hussain, Urmila, Putlibai, Anwaribai, Samson",Action,1938
Tarzan Ki Beti,Roop K. Shorey,"Majnu, Shama Devi, Jeevan, G. N. Butt, Nafees Begum, Manek, Harold Lewis, Baig",Action,1938
Teen Sau Din Ke Baad a.k.a. Three Hundred Days And After,Sarvottam Badami,"Motilal, Sabita Devi, Yakub, Bibbo, Pesi Patel, Sankatha Prasad, Gulzar, Pande, Rukmani, Piroz Wadkar, Yusuf",Social,1938
Toofan Express,Chunilal Parekh,"Jal Merchant, Rajkumari, Agha, Nazira, Chandrashekhar, Gulshan, Shahzadi, Dalpat, Nurjahan, Master Mohammed, Bismillah, Minoo Cooper, Agha",Action,1938
Vachan,Franz Osten,"Devika Rani, Ashok Kumar, Mumtaz Ali, P. F. Pithawala, Balwant Singh, Maya Devi, Kamta Prasad, Mira, Agha Jani, Saroj Borkar, M. Nazir, Rajendranath",Costume Romantic Drama,1938
Vasant Bengali,Aspi Irani,"Yashwant Dave, Husn Banu, Ghulam Rasool, Lakshmi, Asooji, Jumna, Sayed Ahmed",Costume,1938
Vasanti,K. M. Multani,"Naseem Banu, Navin Yagnik, Shanta Dutt, Putlibai, Sadiq Ali, Jamshedji, Khwaja Sabir, Ghulam Hussain, Abu Bakar",Social,1938
Veer Bala,Abdul Rehman Kabuli,"Indurani, Pushparani, A. R. Kabuli, Shiraz, Sher Ali, Baburao Pehalwan, Dhirajlal, Firoza Begum, Azar Ansari, Vidya Devi, Garib Shah, Haroon",Devotional,1938
Vijay Danka,Baburao Apte,"Benjamin, Leela Chitnis, Putlibai, Gohar Karnataki, S. Nazir, Amritlal, Gulab, Khatoon, Amritlal Nagar",Action,1938
Watan,Mehboob Khan,"Kumar, Bibbo, Yakub, Maya Devi, Sitara Devi, Sankatha Prasad, Kayam Ali, Ramchandra, Agashe, Mirza, H. Siddiqi",Costume Drama,1938
Yangrilla,M. D. Bhavnani,"Enakshi Rama Rau, NayampallyI, David, S. L. Puri, Fatty Prasad, Sharifa, Rai Mohan",Action,1938
Zamana,Ram Daryani,"Nazir, Padma Devi, Hansa Wadkar, Jeevan, Majid, Vasant, Dar, Ameena, Bansi Karnataki, Gope, Gulab",Social,1938
Kahan Hai Manzil Teri,S.M.Yusuf,"Benjamin, Radharani, Harishchandra, Urmila, Shah Nawaz, Ila Devi, Sayani Atish, Agha, Dalpat, Nazira",Action,1939
Kala Jigar,A. M. Khan,"Akbar Nawaz, Daya Devi, Chandrakant,Miss Iqbal, Zohra, Gulab, Lily, Rajpal, S. Nazir",Action,1939
Kangan,Franz Osten,"Ashok Kumar, Leela Chitnis, Mubarak, Balwant Singh, Ranibala, Saroj Borkar, Jagdish Sethi, Kamlesh Kumari, Najam, Sarla Kumari",Social,1939
Kapala Kundla,"Nitin Bose, Phani Majumdar","Sailen Choudhury, Leela Desai, Najmul Hussain, Pankaj Mullick, Kamlesh Kumari, Manorama",Social Romantic Drama,1939
Kaun Kisi Ka,C. Luhar,"Shobhana Samarth, Khursheed, Padma Devi, Nazir, Mubarak, Gope, K. N. Singh, Maruti Rao, Bibijan",Social,1939
Khooni Jadugar,Roop K. Shorey,"M. Esmail, Hiralal, Usharani, Majnu, Charlie, Kanwal, Kanti",Action Costume,1939
Ladies Only,Sarvottam Badami,"Surendra, Sabita Devi, Bibbo, Harish, Kaushalya, Bhudo Advani, Prabha Devi, Sunalini Devi, Pande",Social,1939
Leatherface a.k.a. Farzande Watan,Vijay Bhatt,"P. Jairaj, Mehtab, Putlibai, Shirin, Jal Writer, M. Zahoor, Lallubhai Nayak, Shyam Sunder, Munshi Khanjar, Baby Meena Kumari",Action,1939
Madhu Bansari,K. Desai,"Shankar Vazre, Sarojini, Vatsala Kumtekar, Bose, Mirajkar, Mehrunnisa, Ganpat, Pukhraj, Mansur",Action,1939
Marad a.k.a. Murad,Saqi,"P. Jairaj, Khursheed, Moti, Shamrao, Hari Shivdasani, Mehdi Raja",Action,1939
Mera Haq,P. Y. Altekar,"Minakshi, Vimla Sardesai, Damuanna Malvankar, Baburao Pendharkar, Usha Mantri, D. S. Salvi, Vishnupant Jog",Social,1939
Mera Watan,Inamdar,"Nirmala Devi, Ayesha Banu, Inamdar, Chanchal Kumari, Maruti, Azurie",Actiom,1939
Meri Ankhen,Dwarka Khosla,"Trilok Kapoor, Khursheed, Sitara Devi, Mazhar Khan, Ishwarlal, Suresh, Bhagwandas, Kesari",Social,1939
Midnight Mail,K. Amarnath,"Yasmin, Nazir, Shiraz, Indurani, Chandrakant, S. Nazir, Gulab, P. Varne, Ghulam Mohammed, Ghulam Qadir",Action,1939
Sach Hai,S. A. Choudhary,"Motilal, Rose, Shakir, Usharani, Ramakrishna Choubhe, Chandani, Baba Vyas, Danve",Social,1939
Sadhana,Virendra Desai and Mahendra Thakore,"Prem Adib, Shobhana Samarth, Kaushalya, Harish, Bibbo, Kanhaiyalal, Pande, Putlibai",Social,1939
Sadhu Ya Shaitan,M. D. Shah,"Madhavrao, Lekhraj, Kumari Mukta, Satyapal, Yaseem, Shamsudin",Action Suspense,1939
